Title,Authors,Date,Price
The Voyage Out,Virginia Woolf,1929,GBP 383.50
Anonymity An Enquiry,EM Forster,1925,US $43.75
The Years,Virginia Woolf,1938,US $20.00
Orlando,Virginia Woolf,1928,US $49.99
Letters,Stephen Reynolds,1923,US $590.00
The Years,Virginia Woolf,1938,US $22.95
Flush,Virginia Woolf,1933,US $500.00
All Passion Spent,Vita Sackville-West,1931,GBP 35.00
The Fivefold Screen,William Plomer,1932,US $65.00
Night and Day,Virginia Woolf,1929,US $35.00
To the Lighthouse,Virginia Woolf,1927,US $99.95
An Autobiographical Study,Sigmund Freud,1935,GBP 33.00
Collected Papers,Sigmund Freud,1924,US $70.00
Letters,Stephen Reynolds,1923,US $633.00
The Ego and the Id,Sigmund Freud,1927,US $59.99
The Waves,Virginia Woolf,1931,US $740.00
Flush,Virginia Woolf,1933,GBP 24.99
New Writing,John Lehmann,1938,GBP 125.00
New Writing,John Lehmann,1939,GBP 125.00
New Writing,John Lehmann,1938,US $122.00
New Writing,John Lehmann,1939,US $122.00
Folios of New Writing,John Lehmann,1940,US $122.00
Folios of New Writing,John Lehmann,1941,US $122.00
The Dark,Leonid Andreev,1922,US $19.95
Between the Acts,Virginia Woolf,1941,GBP 624.00
The Future of an Illusion,Sigmund Freud,1928,US $28.00
Three Guineas,Virginia Woolf,1938,GBP 196.00
Letters,Stephen Reynolds,1923,US $24.64
The Hogarth Letters,,1933,US $24.64
Collected Papers,Sigmund Freud,1924,US $15.00
Letters,Stephen Reynolds,1923,US $8.19
The Hogarth Letters,,1933,US $8.19
Poems,C.N. Sidney Woolf,1918,US $95.00
Poems,TS Eliot,1919,US $95.00
Poems,Clive Bell,1921,US $95.00
Poems,Frank Prewett,1921,US $95.00
Poems,GH Luce,1923,US $95.00
Poems,Barrington Gates,1925,US $95.00
Poems,George Rylands,1931,US $95.00
Poems,Maria Rainer Rilke,1934,US $95.00
Poems,Christopher Lee,1937,US $95.00
Poems,Kenneth Allott,1938,US $95.00
Poems,Terence Tiller,1941,US $95.00
Poems,C.N. Sidney Woolf,1918,GBP 12.50
Poems,TS Eliot,1919,GBP 12.50
