Title,Author,Price
Land and Freedom,Frederick Verinder,US$ 75.00
The Future of Colonies,Leonard Barnes,US$ 25.00
Work for the Winter and other poems,Julian Bell,US$ 193.95
Noah and the Waters,Cecil Day Lewis,US$ 32.40
Land-Value Rating,FCR Douglas,US$ 75.00
Windless Sky,Fritz Faulkner,US$ 175.00
"Inhibitions, Symptoms and Anxiety",Sigmund Freud,US$ 64.65
The Unknown Murderer,Theodor Reik,US$ 75.00
Sonnets to Orpheus,Rainer Maria Rilke,US$ 96.97
The Authorship of Wuthering Heights,Irene Cooper Willis,US$ 67.44
A Childhood,Francesca Allinson,US$ 96.97
Ladies and Gentlemen in Victorian Fiction,EM Delafield,US$ 20.20
A General Selection from the Works of Sigmund Freud,Sigmund Freud,US$ 84.04
Sally Bowles,Christopher Isherwood,US$ 250.00
Poems,Christopher Lee,US$ 40.00
Socrates,Naomi Mitchison and RHS Crossman,US$ 12.93
Darwin,LB Pekin,US$ 125.00
Pepita,Vita Sackville-West,US$ 39.69
The Years,Virginia Woolf,US$ 258.60
Poems,Kenneth Allott,US$ 40.00
The Bankers of London,Percy Arnold,US$ 77.58
The Machinery of Socialist Planning,GDH Cole,US$ 20.00
Books and the People,Margaret Cole,US$ 75.00
The Political and Social Doctrine of Communism,Palme Dutt,US$ 25.00
Lions and Shadows,Christopher Isherwood,US$ 44.05
Later Poems,Rainer Maria Rilke,US$ 18.10
Journey to the Border,Edward Upward,US$ 84.04
Three Guineas,Virginia Woolf,US$ 200.00
Amber Innocent,Joan Aden Easdale,"US$ 1,500.00"
Moses and Monotheism,Sigmund Freud,US$ 70.00
A History of Socialism,Sally Graves,US$ 39.85
Party Going,Henry Green,"US$ 1,228.34"
Goodbye to Berlin,Christopher Isherwood,US$ 32.32
Superstition and Society,Roger Money-Kyrle,US$ 12.93
The German Army,Herbert Rosinski,US$ 872.77
Poems for Spain,Stephen Spender and John Lehmann,US$ 77.58
Selected Poems,Cecil Day Lewis,US$ 38.50
